"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"SURVEY","2025","AUG","","STATE","ARIZONA","04","","","","","","","00000000","","HAY","HAY - PRICE RECEIVED, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","170",""
"SURVEY","2025","AUG","","STATE","CALIFORNIA","06","","","","","","","00000000","","HAY","HAY - PRICE RECEIVED, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","218",""
"SURVEY","2025","AUG","","STATE","COLORADO","08","","","","","","","00000000","","HAY","HAY - PRICE RECEIVED, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","154",""
"SURVEY","2025","AUG","","STATE","IDAHO","16","","","","","","","00000000","","HAY","HAY - PRICE RECEIVED, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","157",""
"SURVEY","2025","AUG","","STATE","ILLINOIS","17","","","","","","","00000000","","HAY","HAY - PRICE RECEIVED, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","142",""
"SURVEY","2025","AUG","","STATE","IOWA","19","","","","","","","00000000","","HAY","HAY - PRICE RECEIVED, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","100",""
"SURVEY","2025","AUG","","STATE","KANSAS","20","","","","","","","00000000","","HAY","HAY - PRICE RECEIVED, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","118",""
"SURVEY","2025","AUG","","STATE","KENTUCKY","21","","","","","","","00000000","","HAY","HAY - PRICE RECEIVED, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","199",""
"SURVEY","2025","AUG","","STATE","MICHIGAN","26","","","","","","","00000000","","HAY","HAY - PRICE RECEIVED, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","151",""
"SURVEY","2025","AUG","","STATE","MINNESOTA","27","","","","","","","00000000","","HAY","HAY - PRICE RECEIVED, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","89",""
"SURVEY","2025","AUG","","STATE","MISSOURI","29","","","","","","","00000000","","HAY","HAY - PRICE RECEIVED, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","118",""
"SURVEY","2025","AUG","","STATE","MONTANA","30","","","","","","","00000000","","HAY","HAY - PRICE RECEIVED, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","147",""
"SURVEY","2025","AUG","","STATE","NEBRASKA","31","","","","","","","00000000","","HAY","HAY - PRICE RECEIVED, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","97",""
"SURVEY","2025","AUG","","STATE","NEVADA","32","","","","","","","00000000","","HAY","HAY - PRICE RECEIVED, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","165",""
"SURVEY","2025","AUG","","STATE","NEW MEXICO","35","","","","","","","00000000","","HAY","HAY - PRICE RECEIVED, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","236",""
"SURVEY","2025","AUG","","STATE","NEW YORK","36","","","","","","","00000000","","HAY","HAY - PRICE RECEIVED, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","187",""
"SURVEY","2025","AUG","","STATE","NORTH DAKOTA","38","","","","","","","00000000","","HAY","HAY - PRICE RECEIVED, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","86",""
"SURVEY","2025","AUG","","STATE","OHIO","39","","","","","","","00000000","","HAY","HAY - PRICE RECEIVED, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","175",""
"SURVEY","2025","AUG","","STATE","OKLAHOMA","40","","","","","","","00000000","","HAY","HAY - PRICE RECEIVED, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","95",""
"SURVEY","2025","AUG","","STATE","OREGON","41","","","","","","","00000000","","HAY","HAY - PRICE RECEIVED, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","196",""
"SURVEY","2025","AUG","","STATE","PENNSYLVANIA","42","","","","","","","00000000","","HAY","HAY - PRICE RECEIVED, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","192",""
"SURVEY","2025","AUG","","STATE","SOUTH DAKOTA","46","","","","","","","00000000","","HAY","HAY - PRICE RECEIVED, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","92",""
"SURVEY","2025","AUG","","STATE","TEXAS","48","","","","","","","00000000","","HAY","HAY - PRICE RECEIVED, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","162",""
"SURVEY","2025","AUG","","STATE","UTAH","49","","","","","","","00000000","","HAY","HAY - PRICE RECEIVED, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","180",""
"SURVEY","2025","AUG","","STATE","WASHINGTON","53","","","","","","","00000000","","HAY","HAY - PRICE RECEIVED, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","179",""
"SURVEY","2025","AUG","","STATE","WISCONSIN","55","","","","","","","00000000","","HAY","HAY - PRICE RECEIVED, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","108",""
"SURVEY","2025","AUG","","STATE","WYOMING","56","","","","","","","00000000","","HAY","HAY - PRICE RECEIVED, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","154",""
"SURVEY","2025","JUL","","STATE","ARIZONA","04","","","","","","","00000000","","HAY","HAY - PRICE RECEIVED, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","180",""
"SURVEY","2025","JUL","","STATE","CALIFORNIA","06","","","","","","","00000000","","HAY","HAY - PRICE RECEIVED, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","225",""
"SURVEY","2025","JUL","","STATE","COLORADO","08","","","","","","","00000000","","HAY","HAY - PRICE RECEIVED, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","159",""
"SURVEY","2025","JUL","","STATE","IDAHO","16","","","","","","","00000000","","HAY","HAY - PRICE RECEIVED, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","156",""
"SURVEY","2025","JUL","","STATE","ILLINOIS","17","","","","","","","00000000","","HAY","HAY - PRICE RECEIVED, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","140",""
"SURVEY","2025","JUL","","STATE","IOWA","19","","","","","","","00000000","","HAY","HAY - PRICE RECEIVED, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","91",""
"SURVEY","2025","JUL","","STATE","KANSAS","20","","","","","","","00000000","","HAY","HAY - PRICE RECEIVED, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","118",""
"SURVEY","2025","JUL","","STATE","KENTUCKY","21","","","","","","","00000000","","HAY","HAY - PRICE RECEIVED, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","195",""
"SURVEY","2025","JUL","","STATE","MICHIGAN","26","","","","","","","00000000","","HAY","HAY - PRICE RECEIVED, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","147",""
"SURVEY","2025","JUL","","STATE","MINNESOTA","27","","","","","","","00000000","","HAY","HAY - PRICE RECEIVED, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","86",""
"SURVEY","2025","JUL","","STATE","MISSOURI","29","","","","","","","00000000","","HAY","HAY - PRICE RECEIVED, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","123",""
"SURVEY","2025","JUL","","STATE","MONTANA","30","","","","","","","00000000","","HAY","HAY - PRICE RECEIVED, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","144",""
"SURVEY","2025","JUL","","STATE","NEBRASKA","31","","","","","","","00000000","","HAY","HAY - PRICE RECEIVED, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","96",""
"SURVEY","2025","JUL","","STATE","NEVADA","32","","","","","","","00000000","","HAY","HAY - PRICE RECEIVED, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","161",""
"SURVEY","2025","JUL","","STATE","NEW MEXICO","35","","","","","","","00000000","","HAY","HAY - PRICE RECEIVED, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","235",""
"SURVEY","2025","JUL","","STATE","NEW YORK","36","","","","","","","00000000","","HAY","HAY - PRICE RECEIVED, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","196",""
"SURVEY","2025","JUL","","STATE","NORTH DAKOTA","38","","","","","","","00000000","","HAY","HAY - PRICE RECEIVED, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","88",""
"SURVEY","2025","JUL","","STATE","OHIO","39","","","","","","","00000000","","HAY","HAY - PRICE RECEIVED, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","180",""
"SURVEY","2025","JUL","","STATE","OKLAHOMA","40","","","","","","","00000000","","HAY","HAY - PRICE RECEIVED, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","93",""
"SURVEY","2025","JUL","","STATE","OREGON","41","","","","","","","00000000","","HAY","HAY - PRICE RECEIVED, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","195",""
"SURVEY","2025","JUL","","STATE","PENNSYLVANIA","42","","","","","","","00000000","","HAY","HAY - PRICE RECEIVED, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","199",""
"SURVEY","2025","JUL","","STATE","SOUTH DAKOTA","46","","","","","","","00000000","","HAY","HAY - PRICE RECEIVED, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","92",""
"SURVEY","2025","JUL","","STATE","TEXAS","48","","","","","","","00000000","","HAY","HAY - PRICE RECEIVED, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","184",""
"SURVEY","2025","JUL","","STATE","UTAH","49","","","","","","","00000000","","HAY","HAY - PRICE RECEIVED, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","169",""
"SURVEY","2025","JUL","","STATE","WASHINGTON","53","","","","","","","00000000","","HAY","HAY - PRICE RECEIVED, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","182",""
"SURVEY","2025","JUL","","STATE","WISCONSIN","55","","","","","","","00000000","","HAY","HAY - PRICE RECEIVED, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","116",""
"SURVEY","2025","JUL","","STATE","WYOMING","56","","","","","","","00000000","","HAY","HAY - PRICE RECEIVED, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","161",""
"SURVEY","2025","JUN","","STATE","ARIZONA","04","","","","","","","00000000","","HAY","HAY - PRICE RECEIVED, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","190",""
"SURVEY","2025","JUN","","STATE","CALIFORNIA","06","","","","","","","00000000","","HAY","HAY - PRICE RECEIVED, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","228",""
"SURVEY","2025","JUN","","STATE","COLORADO","08","","","","","","","00000000","","HAY","HAY - PRICE RECEIVED, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","149",""
"SURVEY","2025","JUN","","STATE","IDAHO","16","","","","","","","00000000","","HAY","HAY - PRICE RECEIVED, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","160",""
"SURVEY","2025","JUN","","STATE","ILLINOIS","17","","","","","","","00000000","","HAY","HAY - PRICE RECEIVED, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","140",""
"SURVEY","2025","JUN","","STATE","IOWA","19","","","","","","","00000000","","HAY","HAY - PRICE RECEIVED, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","99",""
"SURVEY","2025","JUN","","STATE","KANSAS","20","","","","","","","00000000","","HAY","HAY - PRICE RECEIVED, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","116",""
"SURVEY","2025","JUN","","STATE","KENTUCKY","21","","","","","","","00000000","","HAY","HAY - PRICE RECEIVED, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","184",""
"SURVEY","2025","JUN","","STATE","MICHIGAN","26","","","","","","","00000000","","HAY","HAY - PRICE RECEIVED, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","149",""
"SURVEY","2025","JUN","","STATE","MINNESOTA","27","","","","","","","00000000","","HAY","HAY - PRICE RECEIVED, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","92",""
"SURVEY","2025","JUN","","STATE","MISSOURI","29","","","","","","","00000000","","HAY","HAY - PRICE RECEIVED, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","124",""
"SURVEY","2025","JUN","","STATE","MONTANA","30","","","","","","","00000000","","HAY","HAY - PRICE RECEIVED, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","143",""
"SURVEY","2025","JUN","","STATE","NEBRASKA","31","","","","","","","00000000","","HAY","HAY - PRICE RECEIVED, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","98",""
"SURVEY","2025","JUN","","STATE","NEVADA","32","","","","","","","00000000","","HAY","HAY - PRICE RECEIVED, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","170",""
"SURVEY","2025","JUN","","STATE","NEW MEXICO","35","","","","","","","00000000","","HAY","HAY - PRICE RECEIVED, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","229",""
"SURVEY","2025","JUN","","STATE","NEW YORK","36","","","","","","","00000000","","HAY","HAY - PRICE RECEIVED, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","208",""
"SURVEY","2025","JUN","","STATE","NORTH DAKOTA","38","","","","","","","00000000","","HAY","HAY - PRICE RECEIVED, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","90",""
"SURVEY","2025","JUN","","STATE","OHIO","39","","","","","","","00000000","","HAY","HAY - PRICE RECEIVED, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","190",""
"SURVEY","2025","JUN","","STATE","OKLAHOMA","40","","","","","","","00000000","","HAY","HAY - PRICE RECEIVED, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","104",""
"SURVEY","2025","JUN","","STATE","OREGON","41","","","","","","","00000000","","HAY","HAY - PRICE RECEIVED, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","195",""
"SURVEY","2025","JUN","","STATE","PENNSYLVANIA","42","","","","","","","00000000","","HAY","HAY - PRICE RECEIVED, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","203",""
"SURVEY","2025","JUN","","STATE","SOUTH DAKOTA","46","","","","","","","00000000","","HAY","HAY - PRICE RECEIVED, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","93",""
"SURVEY","2025","JUN","","STATE","TEXAS","48","","","","","","","00000000","","HAY","HAY - PRICE RECEIVED, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","172",""
"SURVEY","2025","JUN","","STATE","UTAH","49","","","","","","","00000000","","HAY","HAY - PRICE RECEIVED, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","159",""
