label,county,state_abbr,state_name,fips,ers_region
"Abbeville County, SC",Abbeville County,SC,South Carolina,45001,Southern Seaboard
"Acadia Parish, LA",Acadia Parish,LA,Louisiana,22001,Mississippi Portal
"Accomack County, VA",Accomack County,VA,Virginia,51001,Southern Seaboard
"Ada County, ID",Ada County,ID,Idaho,16001,Fruitful Rim
"Adair County, IA",Adair County,IA,Iowa,19001,Heartland
"Adair County, KY",Adair County,KY,Kentucky,21001,Eastern Uplands
"Adair County, MO",Adair County,MO,Missouri,29001,Heartland
"Adair County, OK",Adair County,OK,Oklahoma,40001,Eastern Uplands
"Adams County, CO",Adams County,CO,Colorado,8001,Prairie Gateway
"Adams County, IA",Adams County,IA,Iowa,19003,Heartland
"Adams County, ID",Adams County,ID,Idaho,16003,Fruitful Rim
"Adams County, IL",Adams County,IL,Illinois,17001,Heartland
"Adams County, IN",Adams County,IN,Indiana,18001,Heartland
"Adams County, MS",Adams County,MS,Mississippi,28001,Mississippi Portal
"Adams County, ND",Adams County,ND,North Dakota,38001,Northern Great Plains
"Adams County, NE",Adams County,NE,Nebraska,31001,Prairie Gateway
"Adams County, OH",Adams County,OH,Ohio,39001,Heartland
"Adams County, PA",Adams County,PA,Pennsylvania,42001,Northern Crescent
"Adams County, WA",Adams County,WA,Washington,53001,Fruitful Rim
"Adams County, WI",Adams County,WI,Wisconsin,55001,Northern Crescent
"Addison County, VT",Addison County,VT,Vermont,50001,Northern Crescent
"Aiken County, SC",Aiken County,SC,South Carolina,45003,Southern Seaboard
"Aitkin County, MN",Aitkin County,MN,Minnesota,27001,Northern Crescent
"Alachua County, FL",Alachua County,FL,Florida,12001,Fruitful Rim
"Alamance County, NC",Alamance County,NC,North Carolina,37001,Southern Seaboard
"Alameda County, CA",Alameda County,CA,California,6001,Fruitful Rim
"Alamosa County, CO",Alamosa County,CO,Colorado,8003,Basin and Range
"Albany County, NY",Albany County,NY,New York,36001,Northern Crescent
"Albany County, WY",Albany County,WY,Wyoming,56001,Basin and Range
"Albemarle County, VA",Albemarle County,VA,Virginia,51003,Southern Seaboard
"Alcona County, MI",Alcona County,MI,Michigan,26001,Northern Crescent
"Alcorn County, MS",Alcorn County,MS,Mississippi,28003,Mississippi Portal
"Aleutians East Borough, AK",Aleutians East Borough,AK,Alaska,2013,
"Aleutians West Census Area, AK",Aleutians West Census Area,AK,Alaska,2016,
"Alexander County, IL",Alexander County,IL,Illinois,17003,Heartland
"Alexander County, NC",Alexander County,NC,North Carolina,37003,Southern Seaboard
"Alexandria City, VA",Alexandria City,VA,Virginia,51510,Southern Seaboard
"Alfalfa County, OK",Alfalfa County,OK,Oklahoma,40003,Prairie Gateway
"Alger County, MI",Alger County,MI,Michigan,26003,Northern Crescent
"Allamakee County, IA",Allamakee County,IA,Iowa,19005,Heartland
"Allegan County, MI",Allegan County,MI,Michigan,26005,Northern Crescent
"Allegany County, MD",Allegany County,MD,Maryland,24001,Eastern Uplands
"Allegany County, NY",Allegany County,NY,New York,36003,Northern Crescent
"Alleghany County, NC",Alleghany County,NC,North Carolina,37005,Southern Seaboard
"Alleghany County, VA",Alleghany County,VA,Virginia,51005,Eastern Uplands
"Allegheny County, PA",Allegheny County,PA,Pennsylvania,42003,Eastern Uplands
"Allen County, IN",Allen County,IN,Indiana,18003,Heartland
"Allen County, KS",Allen County,KS,Kansas,20001,Prairie Gateway
"Allen County, KY",Allen County,KY,Kentucky,21003,Eastern Uplands
"Allen County, OH",Allen County,OH,Ohio,39003,Heartland
"Allen Parish, LA",Allen Parish,LA,Louisiana,22003,Mississippi Portal
"Allendale County, SC",Allendale County,SC,South Carolina,45005,Fruitful Rim
"Alpena County, MI",Alpena County,MI,Michigan,26007,Northern Crescent
"Alpine County, CA",Alpine County,CA,California,6003,Basin and Range
"Amador County, CA",Amador County,CA,California,6005,Basin and Range
"Amelia County, VA",Amelia County,VA,Virginia,51007,Southern Seaboard
